dataset,event_id,method,huber_delta_s,objective_s,relocated_rms_s,origin_shift_s,relocated_depth_km,delta_horizontal_km,delta_depth_km,depth_boundary
stratified32,SGC2019nhquk,HSSO-E,1.0,0.59242546811575,0.5945537661791681,-2.0680073175750344,17.62532213529602,8.77460465621594,7.845322135296021,False
stratified32,SGC2019ioilw,HSSO-E,1.0,0.4050920236597137,0.4050920236597137,-1.7688971627853736,5.730852601867822,3.079805543552705,4.570852601867822,False
stratified32,SGC2019qdhsi,HSSO-E,1.0,0.535844780618232,0.535844780618232,-1.2457829094818065,23.25806414921708,2.376269413504276,5.1280641492170815,False
stratified32,SGC2019wccpcd,HSSO-E,1.0,0.5864326428109954,0.590163830655496,-1.5914390847643909,11.888581230864917,2.428463881062107,-7.991418769135082,False
stratified32,SGC2019tgdbei,HSSO-E,1.0,0.3497678219773171,0.3497678219773171,-0.8774011762445224,20.173501235279517,4.776111703915856,-7.826498764720487,False
stratified32,SGC2019wbptlu,HSSO-E,1.0,0.3412390937718311,0.3412390937718311,-1.3233813967223471,29.85313410182947,2.90011484008125,1.313134101829469,False
stratified32,SGC2019mwyzm,HSSO-E,1.0,0.3386734357475352,0.3386734357475352,-1.250217480408904,35.237534332238816,3.2351628578933256,1.3975343322388127,False
stratified32,SGC2022luluqb,HSSO-E,1.0,0.1645223217476427,0.1645223217476427,-0.576311610202985,25.60757069010476,7.202474307369833,-5.972429309895237,False
stratified32,SGC2018uupq,HSSO-E,1.0,0.2948349737694853,0.2948349737694853,-1.622962238847995,67.76304763373466,9.621403861802406,17.923047633734654,False
stratified32,SGC2019uqtpny,HSSO-E,1.0,0.4873800084909586,0.4873800084909586,-0.9430111743000786,57.35380020738029,3.57593558059518,10.583800207380284,False
stratified32,SGC2022pdaiuz,HSSO-E,1.0,0.9698678077687624,1.1869470218787934,-0.9462922253214529,75.52000000000001,24.351663567209357,20.000000000000007,True
stratified32,SGC2022kyajix,HSSO-E,1.0,0.1085373231578575,0.1085373231578575,1.2232413369965638,47.83071893540342,16.285004235149618,-7.35928106459658,False
