case,dataset,geometry_event_id,method,seed,n_stations,pick_noise_sigma_s,unmodelled_receiver_delay_sigma_s,true_x_km,true_y_km,true_depth_km,recovered_x_km,recovered_y_km,recovered_depth_km,horizontal_error_km,depth_error_km,absolute_depth_error_km,error_3d_km,recovered_within_5km,terminal_rms_s,evaluations,elapsed_s
1,stratified32,SGC2022luluqb,PSO,4081413061,8,0.05,0.1,-82.63158596367249,19.76681999999997,39.58,-83.49764906396625,19.85472422997037,41.13799258989584,0.8705127496694831,1.5579925898958393,1.5579925898958393,1.78469419159347,True,0.05819355369611555,9030,0.7574283997528255
1,stratified32,SGC2022luluqb,LPSO,4081413061,8,0.05,0.1,-82.63158596367249,19.76681999999997,39.58,-83.49764919306108,19.854724152108265,41.137992873729715,0.8705128702419431,1.5579928737297166,1.5579928737297166,1.7846944981843382,True,0.05819355369611724,9030,1.5438375999219716
1,stratified32,SGC2022luluqb,HSSO-no-helix,4081413061,8,0.05,0.1,-82.63158596367249,19.76681999999997,39.58,-83.49764909789344,19.85472410029746,41.137992780211604,0.8705127703289185,1.557992780211606,1.557992780211606,1.784694367811256,True,0.0581935536961162,9030,1.8724775002337992
1,stratified32,SGC2022luluqb,HSSO-E,4081413061,8,0.05,0.1,-82.63158596367249,19.76681999999997,39.58,-83.49764905718996,19.854724369954532,41.13799226347228,0.8705127570634189,1.5579922634722791,1.5579922634722791,1.7846939102405295,True,0.05819355369611812,9030,1.6131489998660982
2,stratified32,SGC2022omvgfe,PSO,2703909576,8,0.05,0.1,-137.64353023965526,-27.32178662955998,71.16,-136.68290408896328,-26.670930880659224,72.87347048108117,1.1603515877829675,1.713470481081174,1.713470481081174,2.0693952973772323,True,0.06706290833936472,9030,1.1147897001355886
2,stratified32,SGC2022omvgfe,LPSO,2703909576,8,0.05,0.1,-137.64353023965526,-27.32178662955998,71.16,-136.6829050472124,-26.670930184587817,72.87347276016675,1.160351184908136,1.713472760166752,1.713472760166752,2.0693969585730003,True,0.06706290833936435,9030,1.487774500157684
2,stratified32,SGC2022omvgfe,HSSO-no-helix,2703909576,8,0.05,0.1,-137.64353023965526,-27.32178662955998,71.16,-136.68290552217118,-26.67093011359751,72.87347228969436,1.160350831521301,1.7134722896943657,1.7134722896943657,2.0693963708682364,True,0.06706290833935967,9030,1.8351827003061771
2,stratified32,SGC2022omvgfe,HSSO-E,2703909576,8,0.05,0.1,-137.64353023965526,-27.32178662955998,71.16,-136.68290445951598,-26.67093038955457,72.87347077913526,1.1603515564785456,1.713470779135264,1.713470779135264,2.069395526614618,True,0.06706290833936467,9030,2.0142441000789404
3,stratified32,SGC2020agjggo,PSO,2634451784,9,0.05,0.1,-23.403230748097183,53.10879337043997,133.32,-23.83215536356094,51.773866144976886,127.55354272390124,1.4021437241001,-5.766457276098748,5.766457276098748,5.934478624117328,False,0.07211166930004692,9030,1.3735281000845134
3,stratified32,SGC2020agjggo,LPSO,2634451784,9,0.05,0.1,-23.403230748097183,53.10879337043997,133.32,-23.832155106439373,51.77386524255343,127.55354247255771,1.4021445046078265,-5.7664575274422845,5.7664575274422845,5.934479052755828,False,0.07211166930003833,9030,1.442763500381261
3,stratified32,SGC2020agjggo,HSSO-no-helix,2634451784,9,0.05,0.1,-23.403230748097183,53.10879337043997,133.32,-23.832155779300038,51.773864937918745,127.5535417419484,1.4021450004710432,-5.7664582580516,5.7664582580516,5.934479879837611,False,0.07211166930004394,9030,2.478800700046122
3,stratified32,SGC2020agjggo,HSSO-E,2634451784,9,0.05,0.1,-23.403230748097183,53.10879337043997,133.32,-23.832155179226767,51.773865269845345,127.55354228764644,1.4021445008903353,-5.7664577123535565,5.7664577123535565,5.934479231553416,False,0.07211166930003986,9030,2.6055560000240803
4,new30,SGC2025yxrhgz,PSO,958740396,8,0.05,0.1,-38.15265914180683,45.891793370440006,43.5,-38.991707512698945,45.8728990305516,40.33294158364241,0.8392610826057235,-3.167058416357591,3.167058416357591,3.276372716495787,True,0.11673906084659971,9030,0.697698500007391
4,new30,SGC2025yxrhgz,LPSO,958740396,8,0.05,0.1,-38.15265914180683,45.891793370440006,43.5,-38.99170756266757,45.87289846056404,40.33293878498389,0.8392611453940457,-3.167061215016112,3.167061215016112,3.276375437862312,True,0.11673906084660153,9030,1.388214800041169
4,new30,SGC2025yxrhgz,HSSO-no-helix,958740396,8,0.05,0.1,-38.15265914180683,45.891793370440006,43.5,-38.99170759286614,45.87289987256168,40.33294139170552,0.8392611437967982,-3.1670586082944823,3.1670586082944823,3.276372917703248,True,0.11673906084660605,9030,1.7023950000293553
4,new30,SGC2025yxrhgz,HSSO-E,958740396,8,0.05,0.1,-38.15265914180683,45.891793370440006,43.5,-38.99170755003927,45.872899055255786,40.332941629539896,0.8392611193804212,-3.1670583704601043,3.1670583704601043,3.2763726815496876,True,0.11673906084659984,9030,2.2459611003287137
5,new30,SGC2026arcexx,PSO,1631159805,8,0.05,0.1,-80.09589836044853,4.421086629560009,97.0,-79.84831297025907,3.6240200920493195,102.91341970363301,0.8346338063213983,5.913419703633011,5.913419703633011,5.97203032326274,False,0.07257950614920423,9030,1.1275081001222134
5,new30,SGC2026arcexx,LPSO,1631159805,8,0.05,0.1,-80.09589836044853,4.421086629560009,97.0,-79.84831217014364,3.624020017480469,102.91341995406556,0.8346341148800738,5.91341995406556,5.91341995406556,5.972030614360778,False,0.07257950614920186,9030,1.2945909001864493
5,new30,SGC2026arcexx,HSSO-no-helix,1631159805,8,0.05,0.1,-80.09589836044853,4.421086629560009,97.0,-79.84831234911074,3.62402008898275,102.91341932726147,0.8346339935073068,5.913419327261465,5.913419327261465,5.972029976745545,False,0.07257950614919871,9030,2.2506075999699533
5,new30,SGC2026arcexx,HSSO-E,1631159805,8,0.05,0.1,-80.09589836044853,4.421086629560009,97.0,-79.84831268774377,3.624020454826051,102.91342026942056,0.8346335436787171,5.9134202694205555,5.9134202694205555,5.972030846791363,False,0.0725795061491996,9030,2.930499100126326
6,new30,SGC2022hytacc,PSO,775292731,9,0.05,0.1,-27.974729736234256,54.07544662955999,128.12,-29.467259726524254,54.223529642099216,127.7348396789653,1.49985811012834,-0.38516032103470366,0.38516032103470366,1.5485227875034036,True,0.08835494250874061,9030,1.5408522002398968
6,new30,SGC2022hytacc,LPSO,775292731,9,0.05,0.1,-27.974729736234256,54.07544662955999,128.12,-29.46725898617688,54.223529780209596,127.73484077338472,1.499857387034049,-0.38515922661528634,0.38515922661528634,1.548521814921408,True,0.08835494250874004,9030,1.623192799743265
