event_id,time_utc,origin_time_utc,event_lat,event_lon,event_depth_km,source_x_km,source_y_km,source_z_km,magnitude,magnitude_type,phases,rms_s,gap_deg,error_lat_km,error_lon_km,error_depth_km,region,status,source_depth_class,n_picks,n_stations,stations,selection_source,rms_source,quakeml_url,phases_url,map_url
SGC2019nhquk,2019-07-09T03:25:30.089999Z,2019-07-09T03:25:30.089999Z,7.701666667,-73.23783333,9.78,-26.278261141068626,78.10953337043995,9.78,,,9,0.23264183248552317,,,,,"Cáchira - Norte de Santander, Colombia",xml_rms_proxy,xml_v2,9,9,BAR2 BRJC EZNC PAM PDSC PTB VMM07 VMM09 VMM10,xml_arrival_residual_proxy,xml_arrival_residual_rms_s,,,
SGC2019ioilw,2019-05-02T15:50:12.189999Z,2019-05-02T15:50:12.189999Z,6.880166667,-73.48016667,1.16,-53.05372945624295,-13.339846629559986,1.16,,,9,0.29940682097180826,,,,,"San Vicente de Chucurí - Santander, Colombia",xml_rms_proxy,xml_v2,9,9,BAR2 BRJC PAM PDSC PTB VMM07 VMM09 VMM10 VMM11,xml_arrival_residual_proxy,xml_arrival_residual_rms_s,,,
SGC2019qdhsi,2019-08-18T10:41:38.539999Z,2019-08-18T10:41:38.539999Z,6.958,-73.9805,18.13,-108.33567796749878,-4.675439999999979,18.13,,,10,0.3447027705139603,,,,,"Yondó (Casabe) - Antioquia, Colombia",xml_rms_proxy,xml_v2,10,10,BAR2 BRJC EZNC PAM PDSC PTB VMM07 VMM09 VMM10 VMM11,xml_arrival_residual_proxy,xml_arrival_residual_rms_s,,,
SGC2019wccpcd,2019-11-09T18:06:47.009999Z,2019-11-09T18:06:47.009999Z,7.0935,-73.93566667,19.88,-103.38203268336731,10.408419999999966,19.88,,,10,0.41523487329462105,,,,,"Yondó (Casabe) - Antioquia, Colombia",xml_rms_proxy,xml_v2,10,10,BAR2 BRJC EZNC PAM PDSC PTB VMM07 VMM09 VMM10 VMM11,xml_arrival_residual_proxy,xml_arrival_residual_rms_s,,,
SGC2019tgdbei,2019-09-30T10:49:36.859999Z,2019-09-30T10:49:36.859999Z,6.451666667,-73.70533333,28.0,-77.9324472194016,-61.04046662956004,28.0,,,10,0.44359891794277406,,,,,"Vélez - Santander, Colombia",xml_rms_proxy,xml_v2,10,10,BAR2 BRJC EZNC PAM PDSC PTB VMM07 VMM09 VMM10 VMM11,xml_arrival_residual_proxy,xml_arrival_residual_rms_s,,,
SGC2019wbptlu,2019-11-09T11:39:36.840000Z,2019-11-09T11:39:36.840000Z,6.683,-73.48166667,28.54,-53.21946481264323,-35.288440000000016,28.54,,,10,0.5079763774035166,,,,,"El Carmen - Santander, Colombia",xml_rms_proxy,xml_v2,10,10,BAR2 BRJC EZNC PAM PDSC PTB VMM07 VMM09 VMM10 VMM11,xml_arrival_residual_proxy,xml_arrival_residual_rms_s,,,
SGC2019mwyzm,2019-07-03T07:05:57.920000Z,2019-07-03T07:05:57.920000Z,6.688666667,-73.38316667,33.84,-42.33617640897295,-34.657626629560035,33.84,,,9,0.6167207183518683,,,,,"Galán - Santander, Colombia",xml_rms_proxy,xml_v2,9,9,BAR2 BRJC EZNC PAM PDSC PTB VMM07 VMM09 VMM10,xml_arrival_residual_proxy,xml_arrival_residual_rms_s,,,
SGC2022luluqb,2022-06-16 22:45:18,2022-06-16T22:45:18.559999Z,7.2135,-73.80216667,31.58,-88.63158596367249,23.766819999999974,31.58,1.8,MLr_vmm,37,0.5,55.0,0.99,0.99,1.2,"Barrancabermeja - Santander, Colombia",manual,depth20_120,8,8,BAR2 BRJC PAM PDSC PTB PTB1 VMM07 VMM10,final_sgc_catalog,catalog_rms_s,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2022luluqb&file=SGC2022luluqb.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2022luluqb&date=2022-11-30_01:02:09&anio=2022,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=7.2135&lon=-73.80216667&fc=2022-06-16_22:45:18&pf=31.58&mg=1.8&dm=Barrancabermeja_-_Santander,_Colombia"
SGC2018uupq,2018-10-23T21:19:58.729999Z,2018-10-23T21:19:58.729999Z,7.464166667,-73.72583333,49.84,-80.19749709021602,51.67103337043997,49.84,,,8,0.42756578441217674,,,,,"Sabana de Torres - Santander, Colombia",xml_rms_proxy,xml_v2,8,8,BAR2 BRJC PAM PDSC PTB VMM07 VMM09 VMM11,xml_arrival_residual_proxy,xml_arrival_residual_rms_s,,,
SGC2019uqtpny,2019-10-20T09:50:09.990000Z,2019-10-20T09:50:09.990000Z,6.35,-73.7185,46.77,-79.38723571611219,-72.35800000000003,46.77,,,8,0.6763320190557297,,,,,"Vélez - Santander, Colombia",xml_rms_proxy,xml_v2,8,8,BAR2 PAM PDSC PTB VMM07 VMM09 VMM10 VMM11,xml_arrival_residual_proxy,xml_arrival_residual_rms_s,,,
SGC2022pdaiuz,2022-08-03 02:29:16,2022-08-03T02:29:16.420000Z,6.696333333,-73.6905,55.52,-76.29350906329161,-33.80417337043998,55.52,2.7,MLr_vmm,18,0.1,126.0,1.131,1.131,5.5,"El Carmen - Santander, Colombia",manual,depth20_120,8,8,BAR2 BRJC CPAMP PAM PDSC PTB VMM07 VMM10,final_sgc_catalog,catalog_rms_s,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/download.php?destino=eventos/events/SGC2022pdaiuz&file=SGC2022pdaiuz.xml,https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/fases.php?id_sismo=SGC2022pdaiuz&date=2023-01-05_16:58:51&anio=2022,"https://bdrsnc.sgc.gov.co/paginas1/catalogo/Consulta_Experta_Seiscomp/mapa.php?lat=6.696333333&lon=-73.6905&fc=2022-08-03_02:29:16&pf=55.52&mg=2.7&dm=El_Carmen_-_Santander,_Colombia"
