event_id,origin_time_utc,event_lat,event_lon,event_depth_km,source_x_km,source_y_km,source_z_km,station,network,location,channel,station_lat,station_lon,receiver_x_km,receiver_y_km,pick_time_utc,travel_time_s,selection_source,xml_file,arrival_residual_s
SGC2022kyajix,2022-06-04T17:21:56.130000Z,7.103333333,-74.41883333,55.19,-156.76723174750916,11.503066629560015,55.19,BRJC,CM,0,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2022-06-04T17:22:08.600932Z,12.470932,final_sgc_catalog,,
SGC2022kyajix,2022-06-04T17:21:56.130000Z,7.103333333,-74.41883333,55.19,-156.76723174750916,11.503066629560015,55.19,VMM11,CM,0,HHZ,7.44,-73.57,-62.97943543240506,48.98080000000004,2022-06-04T17:22:12.976397Z,16.846397,final_sgc_catalog,,
SGC2022kyajix,2022-06-04T17:21:56.130000Z,7.103333333,-74.41883333,55.19,-156.76723174750916,11.503066629560015,55.19,VMM09,CM,0,HHZ,7.13,-73.29,-32.04216890420715,14.471599999999988,2022-06-04T17:22:14.815271Z,18.685271,final_sgc_catalog,,
SGC2022kyajix,2022-06-04T17:21:56.130000Z,7.103333333,-74.41883333,55.19,-156.76723174750916,11.503066629560015,55.19,BAR2,CM,0,HHZ,6.59,-73.18,-19.888242768128904,-45.64120000000001,2022-06-04T17:22:18.546443Z,22.416443,final_sgc_catalog,,
SGC2022kyajix,2022-06-04T17:21:56.130000Z,7.103333333,-74.41883333,55.19,-156.76723174750916,11.503066629560015,55.19,PAM,CM,20,EHZ,7.34,-72.7,33.147071280213275,37.84879999999998,2022-06-04T17:22:23.288044Z,27.158044,final_sgc_catalog,,
SGC2022lnpqkc,2022-06-13T05:09:43.920000Z,7.7155,-73.857,82.47,-94.69013362381008,79.64945999999995,82.47,VMM07,CM,0,HHZ,7.36,-73.85,-93.91670196060451,40.07520000000003,2022-06-13T05:09:56.227486Z,12.307486,final_sgc_catalog,,
SGC2022lnpqkc,2022-06-13T05:09:43.920000Z,7.7155,-73.857,82.47,-94.69013362381008,79.64945999999995,82.47,VMM11,CM,0,HHZ,7.44,-73.57,-62.97943543240506,48.98080000000004,2022-06-13T05:09:56.748643Z,12.828643,final_sgc_catalog,,
SGC2022lnpqkc,2022-06-13T05:09:43.920000Z,7.7155,-73.857,82.47,-94.69013362381008,79.64945999999995,82.47,BRJC,CM,0,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2022-06-13T05:09:58.670228Z,14.750228,final_sgc_catalog,,
SGC2022lnpqkc,2022-06-13T05:09:43.920000Z,7.7155,-73.857,82.47,-94.69013362381008,79.64945999999995,82.47,VMM09,CM,0,HHZ,7.13,-73.29,-32.04216890420715,14.471599999999988,2022-06-13T05:09:59.872729Z,15.952729,final_sgc_catalog,,
SGC2022lnpqkc,2022-06-13T05:09:43.920000Z,7.7155,-73.857,82.47,-94.69013362381008,79.64945999999995,82.47,PDSC,CM,10,HNZ,6.99,-73.06,-6.629414256042969,-1.1131999999999762,2022-06-13T05:10:02.126029Z,18.206029,final_sgc_catalog,,
SGC2022lnpqkc,2022-06-13T05:09:43.920000Z,7.7155,-73.857,82.47,-94.69013362381008,79.64945999999995,82.47,PTB,CM,0,HHZ,6.54,-74.46,-161.31574689703876,-51.20719999999999,2022-06-13T05:10:05.269584Z,21.349584,final_sgc_catalog,,
SGC2022lnpqkc,2022-06-13T05:09:43.920000Z,7.7155,-73.857,82.47,-94.69013362381008,79.64945999999995,82.47,PTB1,CM,0,HHZ,6.53321,-74.45888,-161.19199783092594,-51.96306279999995,2022-06-13T05:10:05.331050Z,21.41105,final_sgc_catalog,,
SGC2022lnpqkc,2022-06-13T05:09:43.920000Z,7.7155,-73.857,82.47,-94.69013362381008,79.64945999999995,82.47,PAM,CM,20,EHZ,7.34,-72.7,33.147071280213275,37.84879999999998,2022-06-13T05:10:05.508536Z,21.588536,final_sgc_catalog,,
SGC2022lnpqkc,2022-06-13T05:09:43.920000Z,7.7155,-73.857,82.47,-94.69013362381008,79.64945999999995,82.47,BAR2,CM,0,HHZ,6.59,-73.18,-19.888242768128904,-45.64120000000001,2022-06-13T05:10:05.918318Z,21.998318,final_sgc_catalog,,
SGC2022luluqb,2022-06-16T22:45:18.559999Z,7.2135,-73.80216667,31.58,-88.63158596367249,23.766819999999974,31.58,VMM07,CM,0,HHZ,7.36,-73.85,-93.91670196060451,40.07520000000003,2022-06-16T22:45:23.761077Z,5.201078,final_sgc_catalog,,
SGC2022luluqb,2022-06-16T22:45:18.559999Z,7.2135,-73.80216667,31.58,-88.63158596367249,23.766819999999974,31.58,BRJC,CM,0,HHZ,6.97,-73.74,-81.76277582452627,-3.3396000000000274,2022-06-16T22:45:24.299960Z,5.739961,final_sgc_catalog,,
SGC2022luluqb,2022-06-16T22:45:18.559999Z,7.2135,-73.80216667,31.58,-88.63158596367249,23.766819999999974,31.58,VMM10,CM,0,HHZ,6.77,-73.72,-79.55297107251248,-25.603600000000046,2022-06-16T22:45:27.157528Z,8.597529,final_sgc_catalog,,
SGC2022luluqb,2022-06-16T22:45:18.559999Z,7.2135,-73.80216667,31.58,-88.63158596367249,23.766819999999974,31.58,PDSC,CM,10,HNZ,6.99,-73.06,-6.629414256042969,-1.1131999999999762,2022-06-16T22:45:31.875428Z,13.315429,final_sgc_catalog,,
SGC2022luluqb,2022-06-16T22:45:18.559999Z,7.2135,-73.80216667,31.58,-88.63158596367249,23.766819999999974,31.58,PTB,CM,0,HHZ,6.54,-74.46,-161.31574689703876,-51.20719999999999,2022-06-16T22:45:33.848490Z,15.288491,final_sgc_catalog,,
