station,static_raw_s,training_picks,mad_s,training_events,static_supported,station_static_s,training_total_events,evaluation_events_excluded,overlap_events_removed,overlap_pick_rows_removed,minimum_training_events
BAR2,0.023277065643739547,1347,0.2909896506198244,1347,True,0.023277065643739547,1701,30,28,219,20
BRJC,-0.03013284242812908,1339,0.21629896036248475,1339,True,-0.03013284242812908,1701,30,28,219,20
CPAM3,0.13236824525414903,411,0.42759755424591717,411,True,0.13236824525414903,1701,30,28,219,20
CPAMP,-0.1106979693776351,126,0.40496209987987797,126,True,-0.1106979693776351,1701,30,28,219,20
PAM,0.0,1290,0.3756011285753722,1290,True,0.0,1701,30,28,219,20
PDSC,0.0,416,0.31284625146186684,416,True,0.0,1701,30,28,219,20
PTB,0.00839100000000137,390,0.1983146435852925,390,True,0.00839100000000137,1701,30,28,219,20
PTB1,0.03503949453009447,1124,0.24612919717130044,1124,True,0.03503949453009447,1701,30,28,219,20
VMM05,0.9057162851601532,9,0.6202728530798076,9,False,0.0,1701,30,28,219,20
VMM07,0.0,259,0.27422824411429136,259,True,0.0,1701,30,28,219,20
VMM09,0.06453566299521452,26,0.10947765764019923,26,True,0.06453566299521452,1701,30,28,219,20
VMM10,-0.1105662390888078,959,0.206892692021432,959,True,-0.1105662390888078,1701,30,28,219,20
VMM11,-0.08709893129827151,16,0.4009591052626007,16,False,0.0,1701,30,28,219,20
VMM12,1.4132813047845012,2,0.3008580978234683,2,False,0.0,1701,30,28,219,20
