hypodd_id,event_id,origin_time_utc,event_lat_x,event_lon_x,event_depth_km_x,origin_time_nlloc,nlloc_lat,nlloc_lon,nlloc_depth_km,nlloc_rms_s,nlloc_nphs,nlloc_gap_deg,nlloc_herr_km,nlloc_verr_km,nlloc_file,event_lat_y,event_lon_y,event_depth_km_y,magnitude,id,lat,lon,dep,x,y,z,ex,ey,ez,yr,mo,dy,hr,mn,sc,mag,nccp,nccs,nctp,ncts,rcc,rct,cid,hypodd_horizontal_shift_km,hypodd_vertical_shift_km,hypodd_shift_3d_km,hypodd_status,qc_small_cluster,qc_nlloc_depth_boundary,final_lat,final_lon,final_depth_km
1,SGC2018hxdw,2018-04-23T06:49:34.649999Z,7.437,-73.179,132.44,2018-04-23T06:49:32.757509+00:00,7.383148,-73.174567,147.914062,0.305773,8,125.503,8.041971151403118,21.133433227944767,loc\sgc62.20180423.064952.20.grid0.loc.hyp,7.437,-73.179,132.44,,1.0,7.377729,-73.176416,147.834,12072.4,6972.0,22611.6,821.1,787.7,564.5,2018.0,4.0,23.0,6.0,49.0,32.77,0.0,0.0,0.0,12.0,0.0,0.0,0.087,5.0,0.6361567991605966,-0.08006199999999808,0.6411750127400906,relocated,False,False,7.377729,-73.176416,147.834
2,SGC2018uupq,2018-10-23T21:19:58.729999Z,7.464166667,-73.72583333,49.84,2018-10-23T21:19:57.296040+00:00,7.45219,-73.751661,61.917969,0.195083,8,227.214,12.505878617674169,14.450570922977402,loc\sgc62.20181023.212006.54.grid0.loc.hyp,7.464166667,-73.72583333,49.84,,2.0,7.452297,-73.751375,61.924,29215.7,4473.0,-6745.6,240.5,264.3,250.7,2018.0,10.0,23.0,21.0,19.0,57.3,0.0,0.0,0.0,9.0,0.0,0.0,0.036,1.0,0.033704612728455645,0.00603100000000012,0.03423994568008506,relocated,False,False,7.452297,-73.751375,61.924
3,SGC2019ioilw,2019-05-02T15:50:12.189999Z,6.880166667,-73.48016667,1.16,2019-05-02T15:50:11.021601+00:00,6.880536,-73.482645,6.092773,0.101375,9,110.838,1.0726975342565117,2.754683284880496,loc\sgc62.20190502.155016.65.grid0.loc.hyp,6.880166667,-73.48016667,1.16,,3.0,6.879691,-73.481999,6.106,-18729.9,-24410.2,-33281.2,814.2,1015.0,987.1,2019.0,5.0,2.0,15.0,50.0,11.02,0.0,0.0,0.0,4.0,0.0,0.0,0.037,2.0,0.11796388451518294,0.013226999999999656,0.11870312371168423,relocated,False,False,6.879691,-73.481999,6.106
4,SGC2019mwyzm,2019-07-03T07:05:57.920000Z,6.688666667,-73.38316667,33.84,2019-07-03T07:05:57.638522+00:00,6.722101,-73.387687,28.025391,0.138965,9,137.657,4.41961536787988,8.145771909401834,loc\sgc62.20190703.070604.27.grid0.loc.hyp,6.688666667,-73.38316667,33.84,,4.0,6.722336,-73.389209,28.131,-8478.4,-41812.2,-11256.6,985.0,883.0,913.5,2019.0,7.0,3.0,7.0,5.0,57.64,0.0,0.0,0.0,7.0,0.0,0.0,0.029,2.0,0.17010214098125795,0.10560900000000117,0.2002198772535035,relocated,False,False,6.722336,-73.389209,28.131
5,SGC2019nhquk,2019-07-09T03:25:30.089999Z,7.701666667,-73.23783333,9.78,2019-07-09T03:25:29.324974+00:00,7.684561,-73.225166,15.306641,0.207018,9,241.131,11.90768659312127,5.266070641379586,loc\sgc62.20190709.032532.75.grid0.loc.hyp,7.701666667,-73.23783333,9.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unlinked_nlloc_only,False,False,7.684561,-73.225166,15.306641
6,SGC2019pdbii,2019-08-04T02:00:21.390000Z,7.535166667,-73.784,87.38,2019-08-04T02:00:19.477665+00:00,7.481043,-73.803865,99.496094,0.226622,10,217.978,7.954677869027758,16.083189982089994,loc\sgc62.20190804.020033.34.grid0.loc.hyp,7.535166667,-73.784,87.38,,6.0,7.479693,-73.801514,99.455,23680.5,7502.8,30785.9,482.8,277.6,249.2,2019.0,8.0,4.0,2.0,0.0,19.48,0.0,0.0,0.0,14.0,0.0,0.0,0.068,1.0,0.29953951112631944,-0.041094000000001074,0.3023452257962651,relocated,False,False,7.479693,-73.801514,99.455
7,SGC2019pxebo,2019-08-15T02:03:12.119999Z,7.095,-73.82633333,90.59,2019-08-15T02:03:10.140737+00:00,7.064732,-73.843899,103.253906,0.233989,10,129.495,7.026015940773263,15.834708712192972,loc\sgc62.20190815.020324.33.grid0.loc.hyp,7.095,-73.82633333,90.59,,7.0,7.065283,-73.844067,103.257,-1283.1,8950.4,4917.1,511.1,871.9,397.0,2019.0,8.0,15.0,2.0,3.0,10.14,0.0,0.0,0.0,6.0,0.0,0.0,0.145,7.0,0.06401470509774798,0.003094000000004371,0.0640894320832356,relocated,True,False,7.065283,-73.844067,103.257
8,SGC2019qdhsi,2019-08-18T10:41:38.539999Z,6.958,-73.9805,18.13,2019-08-18T10:41:37.777284+00:00,6.93953,-73.989192,21.666016,0.196054,10,148.741,5.977750412989823,3.952214569073901,loc\sgc62.20190818.104143.65.grid0.loc.hyp,6.958,-73.9805,18.13,,8.0,6.940068,-73.989071,21.7,-10221.5,-16286.8,-4757.0,527.0,770.3,1221.2,2019.0,8.0,18.0,10.0,41.0,37.78,0.0,0.0,0.0,7.0,0.0,0.0,0.029,6.0,0.06129846475060023,0.033984000000000236,0.07008861560039972,relocated,False,False,6.940068,-73.989071,21.7
9,SGC2019tgdbei,2019-09-30T10:49:36.859999Z,6.451666667,-73.70533333,28.0,2019-09-30T10:49:35.631329+00:00,6.401109,-73.709264,20.003906,0.230045,10,210.304,8.27536101931511,7.247054574101122,loc\sgc62.20190930.104943.33.grid0.loc.hyp,6.451666667,-73.70533333,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unlinked_nlloc_only,False,False,6.401109,-73.709264,20.003906
10,SGC2019uqtpny,2019-10-20T09:50:09.990000Z,6.35,-73.7185,46.77,2019-10-20T09:50:08.450450+00:00,6.281574,-73.736242,59.894531,0.291641,8,228.927,10.513848011075678,14.910197852476673,loc\sgc62.20191020.095020.31.grid0.loc.hyp,6.35,-73.7185,46.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unlinked_nlloc_only,False,False,6.281574,-73.736242,59.894531
