hypodd_id,event_id,origin_time_utc,event_lat_x,event_lon_x,event_depth_km_x,origin_time_nlloc,nlloc_lat,nlloc_lon,nlloc_depth_km,nlloc_rms_s,nlloc_nphs,nlloc_gap_deg,nlloc_herr_km,nlloc_verr_km,nlloc_file,event_lat_y,event_lon_y,event_depth_km_y,magnitude
1,SGC2018hxdw,2018-04-23T06:49:34.649999Z,7.437,-73.179,132.44,2018-04-23T06:49:32.757509+00:00,7.383148,-73.174567,147.914062,0.305773,8,125.503,8.041971151403118,21.133433227944767,loc\sgc62.20180423.064952.20.grid0.loc.hyp,7.437,-73.179,132.44,
2,SGC2018uupq,2018-10-23T21:19:58.729999Z,7.464166667,-73.72583333,49.84,2018-10-23T21:19:57.296040+00:00,7.45219,-73.751661,61.917969,0.195083,8,227.214,12.505878617674169,14.450570922977402,loc\sgc62.20181023.212006.54.grid0.loc.hyp,7.464166667,-73.72583333,49.84,
3,SGC2019ioilw,2019-05-02T15:50:12.189999Z,6.880166667,-73.48016667,1.16,2019-05-02T15:50:11.021601+00:00,6.880536,-73.482645,6.092773,0.101375,9,110.838,1.0726975342565117,2.754683284880496,loc\sgc62.20190502.155016.65.grid0.loc.hyp,6.880166667,-73.48016667,1.16,
4,SGC2019mwyzm,2019-07-03T07:05:57.920000Z,6.688666667,-73.38316667,33.84,2019-07-03T07:05:57.638522+00:00,6.722101,-73.387687,28.025391,0.138965,9,137.657,4.41961536787988,8.145771909401834,loc\sgc62.20190703.070604.27.grid0.loc.hyp,6.688666667,-73.38316667,33.84,
5,SGC2019nhquk,2019-07-09T03:25:30.089999Z,7.701666667,-73.23783333,9.78,2019-07-09T03:25:29.324974+00:00,7.684561,-73.225166,15.306641,0.207018,9,241.131,11.90768659312127,5.266070641379586,loc\sgc62.20190709.032532.75.grid0.loc.hyp,7.701666667,-73.23783333,9.78,
6,SGC2019pdbii,2019-08-04T02:00:21.390000Z,7.535166667,-73.784,87.38,2019-08-04T02:00:19.477665+00:00,7.481043,-73.803865,99.496094,0.226622,10,217.978,7.954677869027758,16.083189982089994,loc\sgc62.20190804.020033.34.grid0.loc.hyp,7.535166667,-73.784,87.38,
7,SGC2019pxebo,2019-08-15T02:03:12.119999Z,7.095,-73.82633333,90.59,2019-08-15T02:03:10.140737+00:00,7.064732,-73.843899,103.253906,0.233989,10,129.495,7.026015940773263,15.834708712192972,loc\sgc62.20190815.020324.33.grid0.loc.hyp,7.095,-73.82633333,90.59,
8,SGC2019qdhsi,2019-08-18T10:41:38.539999Z,6.958,-73.9805,18.13,2019-08-18T10:41:37.777284+00:00,6.93953,-73.989192,21.666016,0.196054,10,148.741,5.977750412989823,3.9522145690739006,loc\sgc62.20190818.104143.65.grid0.loc.hyp,6.958,-73.9805,18.13,
9,SGC2019tgdbei,2019-09-30T10:49:36.859999Z,6.451666667,-73.70533333,28.0,2019-09-30T10:49:35.631329+00:00,6.401109,-73.709264,20.003906,0.230045,10,210.304,8.27536101931511,7.2470545741011225,loc\sgc62.20190930.104943.33.grid0.loc.hyp,6.451666667,-73.70533333,28.0,
10,SGC2019uqtpny,2019-10-20T09:50:09.990000Z,6.35,-73.7185,46.77,2019-10-20T09:50:08.450450+00:00,6.281574,-73.736242,59.894531,0.291641,8,228.927,10.513848011075678,14.910197852476673,loc\sgc62.20191020.095020.31.grid0.loc.hyp,6.35,-73.7185,46.77,
